Date,Open,High,Low,Close,Adj Close,Volume
2019-02-14,219.509995,220.979996,218.619995,219.809998,217.521530,2875600
2019-02-15,222.190002,222.350006,220.479996,222.110001,219.797607,2758500
2019-02-19,221.429993,221.960007,220.360001,220.589996,218.293411,2836700
2019-02-20,221.220001,221.830002,219.399994,221.110001,218.807999,3103600
2019-02-21,220.210007,221.029999,218.619995,219.309998,217.026733,3528800
2019-02-22,220.000000,223.630005,219.699997,223.320007,220.994995,3295300
2019-02-25,225.000000,225.399994,223.000000,223.320007,220.994995,3359200
2019-02-26,222.160004,225.179993,222.050003,224.000000,221.667908,2852300
2019-02-27,223.039993,224.610001,221.740005,224.570007,222.232010,2119500
2019-02-28,224.089996,225.600006,223.660004,224.770004,222.429886,3240400
2019-03-01,226.880005,228.149994,225.360001,227.250000,224.884064,3001400
2019-03-04,227.309998,228.500000,223.669998,226.289993,223.934067,2977700
2019-03-05,226.229996,226.919998,225.289993,226.220001,223.864822,2779100
2019-03-06,225.850006,226.509995,223.949997,224.470001,222.133026,2849300
2019-03-07,223.619995,224.440002,220.740005,222.410004,220.094498,3879600
2019-03-08,218.380005,222.190002,215.929993,221.869995,219.560089,2691800
2019-03-11,222.940002,226.130005,222.839996,225.639999,223.290848,2670100
2019-03-12,226.589996,228.199997,226.220001,226.940002,224.577301,2478700
2019-03-13,228.369995,231.330002,227.800003,228.500000,226.121078,2690400
2019-03-14,228.699997,230.210007,227.410004,229.509995,227.120560,2838700
2019-03-15,228.820007,232.759995,228.809998,231.169998,228.763260,3894200
2019-03-18,232.289993,232.500000,229.110001,230.389999,227.991379,2734100
2019-03-19,231.539993,232.100006,230.330002,231.009995,228.604935,3212000
2019-03-20,229.729996,231.940002,227.839996,229.889999,227.496597,3747400
2019-03-21,228.199997,237.080002,228.179993,235.869995,233.414337,4441100
2019-03-22,234.839996,236.000000,230.679993,230.759995,228.357513,3709400
2019-03-25,230.389999,231.940002,228.550003,230.419998,228.021072,3506500
2019-03-26,232.960007,233.630005,231.449997,233.289993,230.861191,3046900
2019-03-27,233.919998,234.199997,229.649994,232.520004,230.099213,2640700
2019-03-28,233.419998,235.330002,232.369995,234.860001,232.414856,2712100
2019-03-29,236.490005,236.639999,233.970001,235.449997,232.998688,3453900
2019-04-01,238.300003,239.750000,236.940002,239.050003,236.561249,3475900
2019-04-02,239.229996,239.869995,238.070007,239.259995,236.769043,3386400
2019-04-03,240.279999,240.929993,237.820007,238.929993,236.442474,2911700
2019-04-04,238.699997,238.770004,233.759995,236.059998,233.602356,3096300
2019-04-05,237.210007,237.960007,236.110001,236.630005,234.166428,2590000
2019-04-08,235.720001,236.279999,233.119995,236.270004,234.136703,2714500
2019-04-09,235.289993,237.250000,235.000000,235.910004,233.779953,2491300
2019-04-10,237.000000,237.949997,236.110001,237.059998,234.919556,1984200
2019-04-11,238.000000,238.000000,235.039993,236.039993,233.908752,1908200
2019-04-12,237.029999,239.000000,236.080002,238.830002,236.673599,3452100
2019-04-15,239.520004,239.860001,237.190002,239.149994,236.990677,3437500
2019-04-16,240.000000,240.970001,238.949997,240.089996,237.922195,2564300
2019-04-17,240.669998,241.240005,238.949997,241.000000,238.823975,2829200
2019-04-18,242.529999,242.649994,240.460007,240.889999,238.714981,3016800
2019-04-22,239.800003,243.139999,239.070007,243.050003,240.855484,2217700
2019-04-23,243.899994,244.500000,242.449997,243.490005,241.291504,3108400
2019-04-24,243.630005,246.080002,242.809998,245.289993,243.075241,3255200
2019-04-25,244.699997,246.850006,244.020004,245.610001,243.392380,3152400
2019-04-26,246.050003,247.149994,243.220001,246.679993,244.452682,3349300
2019-04-29,246.880005,248.210007,245.860001,247.130005,244.898651,3274900
2019-04-30,251.089996,257.429993,250.509995,254.240005,251.944443,7179600
2019-05-01,254.899994,256.250000,248.669998,248.750000,246.504013,5146000
2019-05-02,247.559998,248.270004,244.279999,247.190002,244.958115,4747300
2019-05-03,248.610001,249.850006,247.460007,247.949997,245.711243,3194200
2019-05-06,241.490005,249.080002,240.050003,248.639999,246.395004,3022000
2019-05-07,247.270004,247.729996,242.600006,245.059998,242.847305,4257500
2019-05-08,244.539993,247.550003,243.750000,245.330002,243.114899,3050700
2019-05-09,241.889999,245.529999,239.960007,245.309998,243.095078,3891000
2019-05-10,243.869995,248.720001,241.330002,247.429993,245.195938,2816200
2019-05-13,241.509995,243.910004,240.360001,241.380005,239.200546,4136900
2019-05-14,242.119995,247.440002,241.899994,245.940002,243.719391,3862100
2019-05-15,244.330002,251.039993,244.210007,249.149994,246.900406,4186900
2019-05-16,250.440002,255.149994,250.330002,253.419998,251.131836,4911900
2019-05-17,251.110001,254.289993,250.839996,252.550003,250.269714,3129800
2019-05-20,250.490005,254.389999,249.330002,253.490005,251.201202,2951500
2019-05-21,255.000000,255.949997,253.789993,255.360001,253.054321,2881600
2019-05-22,254.750000,258.859985,254.500000,256.899994,254.580414,2936000
2019-05-23,254.750000,255.699997,248.330002,249.729996,247.475143,5072500
2019-05-24,253.139999,253.369995,250.330002,251.479996,249.209320,2710800
2019-05-28,252.660004,257.760010,252.649994,253.429993,251.141724,6252100
